index,Missing word,Missing emission,Missing transition 1,Missing transition 2,Gibbs samples,Sentences correct,Words correct,Average length of sentence,Average length of sentence correctly predicted,Length of longest sentence correctly predicted,Time taken
0.0,1e-05,1e-05,1e-05,1e-05,10.0,41.4,91.55,14.72,4.44,40.0,106.0
1.0,1e-05,1e-05,1e-05,1e-05,20.0,42.25,91.44,14.72,4.54,40.0,116.0
2.0,1e-05,1e-05,1e-05,1e-05,50.0,42.75,91.88,14.72,4.62,40.0,147.0
3.0,1e-05,1e-05,1e-05,1e-05,100.0,43.3,92.08,14.72,4.69,39.0,199.0
4.0,1e-05,1e-05,1e-05,1e-05,150.0,43.75,92.43,14.72,4.77,40.0,250.0
5.0,1e-05,1e-05,1e-05,1e-08,10.0,40.85,91.29,14.72,4.34,39.0,108.0
6.0,1e-05,1e-05,1e-05,1e-08,20.0,42.6,91.75,14.72,4.58,40.0,118.0
7.0,1e-05,1e-05,1e-05,1e-08,50.0,42.65,91.99,14.72,4.6,41.0,154.0
8.0,1e-05,1e-05,1e-05,1e-08,100.0,42.95,92.13,14.72,4.65,40.0,201.0
9.0,1e-05,1e-05,1e-05,1e-08,150.0,43.7,92.3,14.72,4.73,40.0,253.0
10.0,1e-05,1e-05,1e-05,1e-10,10.0,41.85,91.51,14.72,4.51,40.0,107.0
11.0,1e-05,1e-05,1e-05,1e-10,20.0,41.85,91.48,14.72,4.48,40.0,117.0
12.0,1e-05,1e-05,1e-05,1e-10,50.0,42.45,91.9,14.72,4.57,41.0,148.0
13.0,1e-05,1e-05,1e-05,1e-10,100.0,43.35,92.0,14.72,4.71,40.0,201.0
14.0,1e-05,1e-05,1e-05,1e-10,150.0,43.6,92.29,14.72,4.72,40.0,254.0
15.0,1e-05,1e-05,1e-05,1e-12,10.0,42.05,91.75,14.72,4.53,40.0,108.0
16.0,1e-05,1e-05,1e-05,1e-12,20.0,41.9,91.57,14.72,4.52,41.0,118.0
17.0,1e-05,1e-05,1e-05,1e-12,50.0,42.6,91.97,14.72,4.57,40.0,148.0
18.0,1e-05,1e-05,1e-05,1e-12,100.0,43.15,92.24,14.72,4.65,40.0,199.0
19.0,1e-05,1e-05,1e-05,1e-12,150.0,43.25,92.24,14.72,4.67,40.0,252.0
20.0,1e-05,1e-05,1e-08,1e-05,10.0,41.15,91.4,14.72,4.37,40.0,107.0
21.0,1e-05,1e-05,1e-08,1e-05,20.0,41.75,91.71,14.72,4.49,40.0,117.0
22.0,1e-05,1e-05,1e-08,1e-05,50.0,42.55,91.83,14.72,4.58,38.0,149.0
23.0,1e-05,1e-05,1e-08,1e-05,100.0,43.4,92.14,14.72,4.73,40.0,201.0
